year,month,fl_hom,fl_fhom,fl_suic,fl_fsuic,c_hom,c_fhom,c_suic,c_fsuic,time,Sign,Effective,fl_stdpop,c_stdpop,c2_stdpop,
1999,1,75,46,175,97,183,108,305,142,1,0,0,15795400,45578000,37218400,
1999,2,80,39,157,91,168,114,273,134,2,0,0,15795400,45578000,37218400,
1999,3,84,48,175,100,142,77,303,133,3,0,0,15795400,45578000,37218400,
1999,4,67,38,175,97,157,88,325,132,4,0,0,15795400,45578000,37218400,
1999,5,84,45,145,87,184,114,328,122,5,0,0,15795400,45578000,37218400,
1999,6,81,47,156,89,167,95,288,118,6,0,0,15795400,45578000,37218400,
1999,7,95,52,192,111,187,104,294,130,7,0,0,15795400,45578000,37218400,
1999,8,59,32,204,100,188,107,336,145,8,0,0,15795400,45578000,37218400,
1999,9,78,41,139,81,210,110,296,128,9,0,0,15795400,45578000,37218400,
1999,10,93,54,201,109,191,130,299,129,10,0,0,15795400,45578000,37218400,
1999,11,69,38,156,87,174,110,337,144,11,0,0,15795400,45578000,37218400,
1999,12,99,65,154,87,185,111,268,111,12,0,0,15795400,45578000,37218400,
2000,1,92,56,188,117,174,106,316,136,13,0,0,16047500,45901700,37471100,
2000,2,74,37,188,97,189,100,268,114,14,0,0,16047500,45901700,37471100,
2000,3,72,39,158,79,192,123,331,156,15,0,0,16047500,45901700,37471100,
2000,4,77,17,175,94,176,104,335,127,16,0,0,16047500,45901700,37471100,
2000,5,92,24,200,103,190,117,306,111,17,0,0,16047500,45901700,37471100,
2000,6,70,39,173,110,168,98,291,131,18,0,0,16047500,45901700,37471100,
2000,7,84,53,151,94,201,129,297,128,19,0,0,16047500,45901700,37471100,
2000,8,79,23,183,110,196,114,305,131,20,0,0,16047500,45901700,37471100,
2000,9,69,29,170,99,182,104,260,104,21,0,0,16047500,45901700,37471100,
2000,10,74,46,165,86,191,111,291,131,22,0,0,16047500,45901700,37471100,
2000,11,71,54,147,82,169,104,298,137,23,0,0,16047500,45901700,37471100,
2000,12,83,50,188,115,183,116,250,112,24,0,0,16047500,45901700,37471100,
2001,1,87,53,190,100,210,122,324,138,25,0,0,16357000,46161300,37668600,
2001,2,72,36,177,89,150,79,309,127,26,0,0,16357000,46161300,37668600,
2001,3,73,54,182,108,169,105,331,145,27,0,0,16357000,46161300,37668600,
2001,4,78,45,167,79,172,90,349,139,28,0,0,16357000,46161300,37668600,
2001,5,81,48,210,113,186,115,360,144,29,0,0,16357000,46161300,37668600,
2001,6,77,46,185,96,197,119,308,114,30,0,0,16357000,46161300,37668600,
2001,7,81,41,194,96,220,125,341,133,31,0,0,16357000,46161300,37668600,
2001,8,72,51,204,98,201,120,353,144,32,0,0,16357000,46161300,37668600,
2001,9,86,48,199,99,2753,118,302,132,33,0,0,16357000,46161300,37668600,
2001,10,95,53,217,109,216,116,293,130,34,0,0,16357000,46161300,37668600,
2001,11,72,41,206,107,218,128,308,128,35,0,0,16357000,46161300,37668600,
2001,12,95,57,183,103,210,122,279,117,36,0,0,16357000,46161300,37668600,
2002,1,79,47,222,107,175,124,320,123,37,0,0,16689400,46385200,37832600,
2002,2,72,46,159,85,161,94,287,127,38,0,0,16689400,46385200,37832600,
2002,3,77,42,229,116,183,120,306,126,39,0,0,16689400,46385200,37832600,
2002,4,84,47,201,114,196,117,355,155,40,0,0,16689400,46385200,37832600,
2002,5,97,64,203,95,187,123,318,111,41,0,0,16689400,46385200,37832600,
2002,6,74,57,183,103,162,95,307,130,42,0,0,16689400,46385200,37832600,
2002,7,90,61,182,85,182,111,377,158,43,0,0,16689400,46385200,37832600,
2002,8,85,54,229,114,185,114,351,149,44,0,0,16689400,46385200,37832600,
2002,9,101,66,201,118,206,140,352,142,45,0,0,16689400,46385200,37832600,
2002,10,86,54,175,93,201,118,309,126,46,0,0,16689400,46385200,37832600,
2002,11,85,51,172,87,184,120,323,123,47,0,0,16689400,46385200,37832600,
2002,12,78,46,182,88,186,121,262,107,48,0,0,16689400,46385200,37832600,
2003,1,83,47,195,115,181,109,324,129,49,0,0,17004100,46579100,37977700,
2003,2,73,45,174,85,173,107,285,113,50,0,0,17004100,46579100,37977700,
2003,3,87,54,203,116,211,133,304,121,51,0,0,17004100,46579100,37977700,
2003,4,85,63,214,130,200,132,319,140,52,0,0,17004100,46579100,37977700,
2003,5,84,56,214,119,182,109,324,131,53,0,0,17004100,46579100,37977700,
2003,6,90,53,209,120,216,133,317,121,54,0,0,17004100,46579100,37977700,
2003,7,84,56,205,110,209,132,277,98,55,0,0,17004100,46579100,37977700,
2003,8,101,71,201,104,200,129,309,105,56,0,0,17004100,46579100,37977700,
2003,9,82,51,166,74,221,129,319,129,57,0,0,17004100,46579100,37977700,
2003,10,92,64,194,105,179,123,301,130,58,0,0,17004100,46579100,37977700,
2003,11,73,55,159,79,176,129,277,109,59,0,0,17004100,46579100,37977700,
2003,12,70,45,163,85,220,138,283,110,60,0,0,17004100,46579100,37977700,
2004,1,81,52,190,94,181,113,331,135,61,0,0,17415300,46734100,38099500,
2004,2,82,48,208,112,163,93,286,100,62,0,0,17415300,46734100,38099500,
2004,3,75,48,205,97,172,110,328,126,63,0,0,17415300,46734100,38099500,
2004,4,84,54,181,90,179,115,316,125,64,0,0,17415300,46734100,38099500,
2004,5,84,59,211,103,190,123,344,136,65,0,0,17415300,46734100,38099500,
2004,6,96,54,204,101,183,107,329,129,66,0,0,17415300,46734100,38099500,
2004,7,111,58,201,97,222,151,354,132,67,0,0,17415300,46734100,38099500,
2004,8,94,63,194,100,205,125,360,147,68,0,0,17415300,46734100,38099500,
2004,9,87,50,200,105,216,140,308,122,69,0,0,17415300,46734100,38099500,
2004,10,87,52,213,95,180,108,327,137,70,0,0,17415300,46734100,38099500,
2004,11,78,62,205,111,162,108,340,140,71,0,0,17415300,46734100,38099500,
2004,12,73,47,177,92,182,111,308,123,72,0,0,17415300,46734100,38099500,
