year,month,fl_hom,fl_fhom,fl_suic,fl_fsuic,c_hom,time,Sign,Effective,fl_stdpop,c_stdpop,,Population_CT,Homicide_num_CT,Population_MD,Homicide_num_MD
1999,1,75,46,175,97,56,1,0,0,15795400,8640910,,3386401,11,5254509,45
1999,2,80,39,157,91,29,2,0,0,15795400,8640910,,3386401,2,5254509,27
1999,3,84,48,175,100,28,3,0,0,15795400,8640910,,3386401,0,5254509,28
1999,4,67,38,175,97,31,4,0,0,15795400,8640910,,3386401,9,5254509,22
1999,5,84,45,145,87,38,5,0,0,15795400,8640910,,3386401,5,5254509,33
1999,6,81,47,156,89,29,6,0,0,15795400,8640910,,3386401,6,5254509,23
1999,7,95,52,192,111,42,7,0,0,15795400,8640910,,3386401,11,5254509,31
1999,8,59,32,204,100,42,8,0,0,15795400,8640910,,3386401,11,5254509,31
1999,9,78,41,139,81,48,9,0,0,15795400,8640910,,3386401,9,5254509,39
1999,10,93,54,201,109,38,10,0,0,15795400,8640910,,3386401,1,5254509,37
1999,11,69,38,156,87,46,11,0,0,15795400,8640910,,3386401,5,5254509,41
1999,12,99,65,154,87,40,12,0,0,15795400,8640910,,3386401,1,5254509,39
2000,1,92,56,188,117,47,13,0,0,16047500,8702051,,3405565,7,5296486,40
2000,2,74,37,188,97,28,14,0,0,16047500,8702051,,3405565,8,5296486,20
2000,3,72,39,158,79,40,15,0,0,16047500,8702051,,3405565,1,5296486,39
2000,4,77,17,175,94,41,16,0,0,16047500,8702051,,3405565,7,5296486,34
2000,5,92,24,200,103,30,17,0,0,16047500,8702051,,3405565,0,5296486,30
2000,6,70,39,173,110,36,18,0,0,16047500,8702051,,3405565,7,5296486,29
2000,7,84,53,151,94,40,19,0,0,16047500,8702051,,3405565,7,5296486,33
2000,8,79,23,183,110,38,20,0,0,16047500,8702051,,3405565,6,5296486,32
2000,9,69,29,170,99,30,21,0,0,16047500,8702051,,3405565,4,5296486,26
2000,10,74,46,165,86,27,22,0,0,16047500,8702051,,3405565,0,5296486,27
2000,11,71,54,147,82,22,23,0,0,16047500,8702051,,3405565,2,5296486,20
2000,12,83,50,188,115,24,24,0,0,16047500,8702051,,3405565,1,5296486,23
2001,1,87,53,190,100,45,25,0,0,16357000,8807526,,3432835,8,5374691,37
2001,2,72,36,177,89,39,26,0,0,16357000,8807526,,3432835,6,5374691,33
2001,3,73,54,182,108,22,27,0,0,16357000,8807526,,3432835,4,5374691,18
2001,4,78,45,167,79,30,28,0,0,16357000,8807526,,3432835,5,5374691,25
2001,5,81,48,210,113,37,29,0,0,16357000,8807526,,3432835,7,5374691,30
2001,6,77,46,185,96,45,30,0,0,16357000,8807526,,3432835,11,5374691,34
2001,7,81,41,194,96,28,31,0,0,16357000,8807526,,3432835,7,5374691,21
2001,8,72,51,204,98,30,32,0,0,16357000,8807526,,3432835,5,5374691,25
2001,9,86,48,199,99,40,33,0,0,16357000,8807526,,3432835,0,5374691,40
2001,10,95,53,217,109,51,34,0,0,16357000,8807526,,3432835,9,5374691,42
2001,11,72,41,206,107,45,35,0,0,16357000,8807526,,3432835,10,5374691,35
2001,12,95,57,183,103,41,36,0,0,16357000,8899138,,3458749,5,5440389,36
2002,1,79,47,222,107,28,37,0,0,16689400,8899138,,3458749,5,5440389,23
2002,2,72,46,159,85,40,38,0,0,16689400,8899138,,3458749,2,5440389,38
2002,3,77,42,229,116,29,39,0,0,16689400,8899138,,3458749,7,5440389,22
2002,4,84,47,201,114,37,40,0,0,16689400,8899138,,3458749,9,5440389,28
2002,5,97,64,203,95,32,41,0,0,16689400,8899138,,3458749,8,5440389,24
2002,6,74,57,183,103,45,42,0,0,16689400,8899138,,3458749,7,5440389,38
2002,7,90,61,182,85,33,43,0,0,16689400,8899138,,3458749,2,5440389,31
2002,8,85,54,229,114,45,44,0,0,16689400,8899138,,3458749,9,5440389,36
2002,9,101,66,201,118,44,45,0,0,16689400,8899138,,3458749,7,5440389,37
2002,10,86,54,175,93,29,46,0,0,16689400,8899138,,3458749,2,5440389,27
2002,11,85,51,172,87,35,47,0,0,16689400,8899138,,3458749,10,5440389,25
2002,12,78,46,182,88,40,48,0,0,16689400,8980605,,3484336,2,5496269,38
2003,1,83,47,195,115,25,49,0,0,17004100,8980605,,3484336,1,5496269,24
2003,2,73,45,174,85,36,50,0,0,17004100,8980605,,3484336,4,5496269,32
2003,3,87,54,203,116,43,51,0,0,17004100,8980605,,3484336,7,5496269,36
2003,4,85,63,214,130,46,52,0,0,17004100,8980605,,3484336,9,5496269,37
2003,5,84,56,214,119,31,53,0,0,17004100,8980605,,3484336,1,5496269,30
2003,6,90,53,209,120,51,54,0,0,17004100,8980605,,3484336,8,5496269,43
2003,7,84,56,205,110,34,55,0,0,17004100,8980605,,3484336,6,5496269,28
2003,8,101,71,201,104,31,56,0,0,17004100,8980605,,3484336,5,5496269,26
2003,9,82,51,166,74,38,57,0,0,17004100,8980605,,3484336,0,5496269,38
2003,10,92,64,194,105,34,58,0,0,17004100,8980605,,3484336,5,5496269,29
2003,11,73,55,159,79,37,59,0,0,17004100,8980605,,3484336,4,5496269,33
2003,12,70,45,163,85,34,60,0,0,17004100,9043029,,3496094,8,5546935,26
2004,1,81,52,190,94,26,61,0,0,17415300,9043029,,3496094,0,5546935,26
2004,2,82,48,208,112,26,62,0,0,17415300,9043029,,3496094,2,5546935,24
2004,3,75,48,205,97,32,63,0,0,17415300,9043029,,3496094,5,5546935,27
2004,4,84,54,181,90,30,64,0,0,17415300,9043029,,3496094,4,5546935,26
2004,5,84,59,211,103,36,65,0,0,17415300,9043029,,3496094,1,5546935,35
2004,6,96,54,204,101,45,66,0,0,17415300,9043029,,3496094,0,5546935,45
2004,7,111,58,201,97,47,67,0,0,17415300,9043029,,3496094,7,5546935,40
2004,8,94,63,194,100,41,68,0,0,17415300,9043029,,3496094,3,5546935,38
2004,9,87,50,200,105,46,69,0,0,17415300,9043029,,3496094,10,5546935,36
2004,10,87,52,213,95,42,70,0,0,17415300,9043029,,3496094,8,5546935,34
2004,11,78,62,205,111,35,71,0,0,17415300,9043029,,3496094,6,5546935,29
2004,12,73,47,177,92,52,72,0,0,17415300,9099335,,3506956,5,5592379,47
2005,1,81,43,198,89,37,73,0,0,17842000,9099335,,3506956,6,5592379,31
2005,2,56,34,187,88,38,74,0,0,17842000,9099335,,3506956,7,5592379,31
2005,3,80,48,195,97,40,75,0,0,17842000,9099335,,3506956,7,5592379,33
2005,4,74,50,207,109,41,76,1,0,17842000,9099335,,3506956,7,5592379,34
2005,5,81,44,196,87,51,77,1,0,17842000,9099335,,3506956,6,5592379,45
2005,6,93,60,196,96,44,78,1,0,17842000,9099335,,3506956,2,5592379,42
2005,7,103,70,206,100,39,79,1,0,17842000,9099335,,3506956,10,5592379,29
2005,8,84,55,208,113,28,80,1,0,17842000,9099335,,3506956,1,5592379,27
2005,9,70,43,203,103,25,81,1,0,17842000,8807526,,3432835,2,5374691,23
2005,10,91,58,169,94,33,82,1,1,17842000,9099335,,3506956,1,5592379,32
2005,11,93,59,182,85,39,83,1,1,17842000,9099335,,3506956,4,5592379,35
2005,12,92,67,200,102,45,84,1,1,17842000,9099335,,3506956,9,5592379,36
2006,1,101,59,210,108,50,85,1,1,18167000,9144827,,3517460,10,5627367,40
2006,2,100,65,156,70,23,86,1,1,18167000,9144827,,3517460,2,5627367,21
2006,3,74,50,194,93,21,87,1,1,18167000,9144827,,3517460,1,5627367,20
2006,4,94,70,209,111,37,88,1,1,18167000,9144827,,3517460,9,5627367,28
2006,5,117,76,219,105,50,89,1,1,18167000,9144827,,3517460,12,5627367,38
2006,6,90,62,223,125,34,90,1,1,18167000,9144827,,3517460,5,5627367,29
2006,7,108,74,186,95,51,91,1,1,18167000,9144827,,3517460,9,5627367,42
2006,8,107,66,199,90,29,92,1,1,18167000,9144827,,3517460,1,5627367,28
2006,9,96,67,203,113,59,93,1,1,18167000,9144827,,3517460,12,5627367,47
2006,10,117,70,233,110,42,94,1,1,18167000,9144827,,3517460,2,5627367,40
2006,11,93,63,203,101,43,95,1,1,18167000,9144827,,3517460,7,5627367,36
2006,12,117,81,205,106,53,96,1,1,18167000,9144827,,3517460,6,5627367,47
2007,1,125,90,216,109,37,97,1,1,18367800,9180678,,3527270,2,5653408,35
2007,2,76,60,184,95,34,98,1,1,18367800,9180678,,3527270,6,5653408,28
2007,3,111,74,214,94,46,99,1,1,18367800,9180678,,3527270,6,5653408,40
2007,4,113,78,229,111,44,100,1,1,18367800,9180678,,3527270,6,5653408,38
2007,5,116,77,216,104,47,101,1,1,18367800,9180678,,3527270,5,5653408,42
2007,6,110,75,207,119,49,102,1,1,18367800,9180678,,3527270,12,5653408,37
2007,7,144,96,225,117,41,103,1,1,18367800,9180678,,3527270,0,5653408,41
2007,8,104,82,219,99,46,104,1,1,18367800,9180678,,3527270,1,5653408,45
2007,9,108,80,215,120,33,105,1,1,18367800,9180678,,3527270,2,5653408,31
2007,10,95,67,241,114,31,106,1,1,18367800,9180678,,3527270,0,5653408,31
2007,11,110,84,210,104,31,107,1,1,18367800,9180678,,3527270,3,5653408,28
2007,12,112,72,211,98,31,108,1,1,18367800,9180678,,3527270,3,5653408,28
2008,1,95,73,241,125,23,109,1,1,18527300,9230544,,3545579,0,5684965,23
2008,2,119,80,218,118,30,110,1,1,18527300,9230544,,3545579,4,5684965,26
2008,3,101,65,218,111,32,111,1,1,18527300,9230544,,3545579,0,5684965,32
2008,4,105,68,212,114,28,112,1,1,18527300,9230544,,3545579,2,5684965,26
2008,5,127,94,266,129,43,113,1,1,18527300,9230544,,3545579,7,5684965,36
2008,6,108,80,251,114,49,114,1,1,18527300,9230544,,3545579,11,5684965,38
