,year,month,hom,suic,fhom,fsuic,time,Sign,Effective,stdpop,stdpop2,case
1,1999,1,75,175,46,97,1,0,0,15795400,15795400,1
2,1999,2,80,157,39,91,2,0,0,15795400,15795400,1
3,1999,3,84,175,48,100,3,0,0,15795400,15795400,1
4,1999,4,67,175,38,97,4,0,0,15795400,15795400,1
5,1999,5,84,145,45,87,5,0,0,15795400,15795400,1
6,1999,6,81,156,47,89,6,0,0,15795400,15795400,1
7,1999,7,95,192,52,111,7,0,0,15795400,15795400,1
8,1999,8,59,204,32,100,8,0,0,15795400,15795400,1
9,1999,9,78,139,41,81,9,0,0,15795400,15795400,1
10,1999,10,93,201,54,109,10,0,0,15795400,15795400,1
11,1999,11,69,156,38,87,11,0,0,15795400,15795400,1
12,1999,12,99,154,65,87,12,0,0,15795400,15795400,1
13,2000,1,92,188,56,117,13,0,0,16047500,16047500,1
14,2000,2,74,188,37,97,14,0,0,16047500,16047500,1
15,2000,3,72,158,39,79,15,0,0,16047500,16047500,1
16,2000,4,77,175,17,94,16,0,0,16047500,16047500,1
17,2000,5,92,200,24,103,17,0,0,16047500,16047500,1
18,2000,6,70,173,39,110,18,0,0,16047500,16047500,1
19,2000,7,84,151,53,94,19,0,0,16047500,16047500,1
20,2000,8,79,183,23,110,20,0,0,16047500,16047500,1
21,2000,9,69,170,29,99,21,0,0,16047500,16047500,1
22,2000,10,74,165,46,86,22,0,0,16047500,16047500,1
23,2000,11,71,147,54,82,23,0,0,16047500,16047500,1
24,2000,12,83,188,50,115,24,0,0,16047500,16047500,1
25,2001,1,87,190,53,100,25,0,0,16357000,16357000,1
26,2001,2,72,177,36,89,26,0,0,16357000,16357000,1
27,2001,3,73,182,54,108,27,0,0,16357000,16357000,1
28,2001,4,78,167,45,79,28,0,0,16357000,16357000,1
29,2001,5,81,210,48,113,29,0,0,16357000,16357000,1
30,2001,6,77,185,46,96,30,0,0,16357000,16357000,1
31,2001,7,81,194,41,96,31,0,0,16357000,16357000,1
32,2001,8,72,204,51,98,32,0,0,16357000,16357000,1
33,2001,9,86,199,48,99,33,0,0,16357000,16357000,1
34,2001,10,95,217,53,109,34,0,0,16357000,16357000,1
35,2001,11,72,206,41,107,35,0,0,16357000,16357000,1
36,2001,12,95,183,57,103,36,0,0,16357000,16357000,1
37,2002,1,79,222,47,107,37,0,0,16689400,16689400,1
38,2002,2,72,159,46,85,38,0,0,16689400,16689400,1
39,2002,3,77,229,42,116,39,0,0,16689400,16689400,1
40,2002,4,84,201,47,114,40,0,0,16689400,16689400,1
41,2002,5,97,203,64,95,41,0,0,16689400,16689400,1
42,2002,6,74,183,57,103,42,0,0,16689400,16689400,1
43,2002,7,90,182,61,85,43,0,0,16689400,16689400,1
44,2002,8,85,229,54,114,44,0,0,16689400,16689400,1
45,2002,9,101,201,66,118,45,0,0,16689400,16689400,1
46,2002,10,86,175,54,93,46,0,0,16689400,16689400,1
47,2002,11,85,172,51,87,47,0,0,16689400,16689400,1
48,2002,12,78,182,46,88,48,0,0,16689400,16689400,1
49,2003,1,83,195,47,115,49,0,0,17004100,17004100,1
50,2003,2,73,174,45,85,50,0,0,17004100,17004100,1
51,2003,3,87,203,54,116,51,0,0,17004100,17004100,1
52,2003,4,85,214,63,130,52,0,0,17004100,17004100,1
53,2003,5,84,214,56,119,53,0,0,17004100,17004100,1
54,2003,6,90,209,53,120,54,0,0,17004100,17004100,1
55,2003,7,84,205,56,110,55,0,0,17004100,17004100,1
56,2003,8,101,201,71,104,56,0,0,17004100,17004100,1
57,2003,9,82,166,51,74,57,0,0,17004100,17004100,1
58,2003,10,92,194,64,105,58,0,0,17004100,17004100,1
59,2003,11,73,159,55,79,59,0,0,17004100,17004100,1
60,2003,12,70,163,45,85,60,0,0,17004100,17004100,1
61,2004,1,81,190,52,94,61,0,0,17415300,17415300,1
62,2004,2,82,208,48,112,62,0,0,17415300,17415300,1
63,2004,3,75,205,48,97,63,0,0,17415300,17415300,1
64,2004,4,84,181,54,90,64,0,0,17415300,17415300,1
65,2004,5,84,211,59,103,65,0,0,17415300,17415300,1
66,2004,6,96,204,54,101,66,0,0,17415300,17415300,1
67,2004,7,111,201,58,97,67,0,0,17415300,17415300,1
68,2004,8,94,194,63,100,68,0,0,17415300,17415300,1
69,2004,9,87,200,50,105,69,0,0,17415300,17415300,1
70,2004,10,87,213,52,95,70,0,0,17415300,17415300,1
71,2004,11,78,205,62,111,71,0,0,17415300,17415300,1
72,2004,12,73,177,47,92,72,0,0,17415300,17415300,1
73,2005,1,81,198,43,89,73,0,0,17842000,17842000,1
74,2005,2,56,187,34,88,74,0,0,17842000,17842000,1
75,2005,3,80,195,48,97,75,0,0,17842000,17842000,1
76,2005,4,74,207,50,109,76,1,0,17842000,17842000,1
77,2005,5,81,196,44,87,77,1,0,17842000,17842000,1
78,2005,6,93,196,60,96,78,1,0,17842000,17842000,1
79,2005,7,103,206,70,100,79,1,0,17842000,17842000,1
80,2005,8,84,208,55,113,80,1,0,17842000,17842000,1
81,2005,9,70,203,43,103,81,1,0,17842000,17842000,1
82,2005,10,91,169,58,94,82,1,1,17842000,17842000,1
83,2005,11,93,182,59,85,83,1,1,17842000,17842000,1
84,2005,12,92,200,67,102,84,1,1,17842000,17842000,1
85,2006,1,101,210,59,108,85,1,1,18167000,18167000,1
86,2006,2,100,156,65,70,86,1,1,18167000,18167000,1
87,2006,3,74,194,50,93,87,1,1,18167000,18167000,1
88,2006,4,94,209,70,111,88,1,1,18167000,18167000,1
89,2006,5,117,219,76,105,89,1,1,18167000,18167000,1
90,2006,6,90,223,62,125,90,1,1,18167000,18167000,1
91,2006,7,108,186,74,95,91,1,1,18167000,18167000,1
92,2006,8,107,199,66,90,92,1,1,18167000,18167000,1
93,2006,9,96,203,67,113,93,1,1,18167000,18167000,1
94,2006,10,117,233,70,110,94,1,1,18167000,18167000,1
95,2006,11,93,203,63,101,95,1,1,18167000,18167000,1
96,2006,12,117,205,81,106,96,1,1,18167000,18167000,1
97,2007,1,125,216,90,109,97,1,1,18367800,18367800,1
98,2007,2,76,184,60,95,98,1,1,18367800,18367800,1
99,2007,3,111,214,74,94,99,1,1,18367800,18367800,1
100,2007,4,113,229,78,111,100,1,1,18367800,18367800,1
101,2007,5,116,216,77,104,101,1,1,18367800,18367800,1
102,2007,6,110,207,75,119,102,1,1,18367800,18367800,1
103,2007,7,144,225,96,117,103,1,1,18367800,18367800,1
104,2007,8,104,219,82,99,104,1,1,18367800,18367800,1
105,2007,9,108,215,80,120,105,1,1,18367800,18367800,1
106,2007,10,95,241,67,114,106,1,1,18367800,18367800,1
107,2007,11,110,210,84,104,107,1,1,18367800,18367800,1
