,year,month,hom,time,Sign,Effective,stdpop,case
1,1999,1,75,1,0,0,15795400,1
2,1999,2,80,2,0,0,15795400,1
3,1999,3,84,3,0,0,15795400,1
4,1999,4,67,4,0,0,15795400,1
5,1999,5,84,5,0,0,15795400,1
6,1999,6,81,6,0,0,15795400,1
7,1999,7,95,7,0,0,15795400,1
8,1999,8,59,8,0,0,15795400,1
9,1999,9,78,9,0,0,15795400,1
10,1999,10,93,10,0,0,15795400,1
11,1999,11,69,11,0,0,15795400,1
12,1999,12,99,12,0,0,15795400,1
13,2000,1,92,13,0,0,16047500,1
14,2000,2,74,14,0,0,16047500,1
15,2000,3,72,15,0,0,16047500,1
16,2000,4,77,16,0,0,16047500,1
17,2000,5,92,17,0,0,16047500,1
18,2000,6,70,18,0,0,16047500,1
19,2000,7,84,19,0,0,16047500,1
20,2000,8,79,20,0,0,16047500,1
21,2000,9,69,21,0,0,16047500,1
22,2000,10,74,22,0,0,16047500,1
23,2000,11,71,23,0,0,16047500,1
24,2000,12,83,24,0,0,16047500,1
25,2001,1,87,25,0,0,16357000,1
26,2001,2,72,26,0,0,16357000,1
27,2001,3,73,27,0,0,16357000,1
28,2001,4,78,28,0,0,16357000,1
29,2001,5,81,29,0,0,16357000,1
30,2001,6,77,30,0,0,16357000,1
31,2001,7,81,31,0,0,16357000,1
32,2001,8,72,32,0,0,16357000,1
33,2001,9,86,33,0,0,16357000,1
34,2001,10,95,34,0,0,16357000,1
35,2001,11,72,35,0,0,16357000,1
36,2001,12,95,36,0,0,16357000,1
37,2002,1,79,37,0,0,16689400,1
38,2002,2,72,38,0,0,16689400,1
39,2002,3,77,39,0,0,16689400,1
40,2002,4,84,40,0,0,16689400,1
41,2002,5,97,41,0,0,16689400,1
42,2002,6,74,42,0,0,16689400,1
43,2002,7,90,43,0,0,16689400,1
44,2002,8,85,44,0,0,16689400,1
45,2002,9,101,45,0,0,16689400,1
46,2002,10,86,46,0,0,16689400,1
47,2002,11,85,47,0,0,16689400,1
48,2002,12,78,48,0,0,16689400,1
49,2003,1,83,49,0,0,17004100,1
50,2003,2,73,50,0,0,17004100,1
51,2003,3,87,51,0,0,17004100,1
52,2003,4,85,52,0,0,17004100,1
53,2003,5,84,53,0,0,17004100,1
54,2003,6,90,54,0,0,17004100,1
