,State,State.Code,Year,Deaths,Population,Homicide_num,Year.month,Month.code,Unemployment_adj,Firearm.suicides,Suicides,Paid.Hunting.License.Holders,Annual.Burglary.Rate,Personal.income.per.capita..dollars.,Annual.robbery.rate,Annual.incarceration.rate,Number.of.sworn.officers.per.1.000.U.S..residents,Percentage.of.republican.voters.in.presidential.election,Num_pop_over15,Proportion.of.population.hispanic,Proportion.of.population.AA.or.B,Percentage.4.year.bachelors.or.above..25.years.old.and.over,Proportion.of.15.24,Density,Gallons.of.ethanol,Num_pov,MSA,Prop_male,homicide_total,prop_urban,p100khomicide_firearm,homicide_exclfirearm,p100khomicide_exclfirearm,p100khomicide_firearm_m6,time,Case
1,Arkansas,5,1999,2720,2651860,11,1999/01,1,4.8,26,36,412114,850.2,21856,850.2,443,NA,NA,379744,2.8141,16.0053,17.3,14.31991131,NA,1286626,2616,NA,NA,16,NA,0.414803195,5,0.188546907,0.289105257,1,0
2,Arkansas,5,1999,2263,2651860,4,1999/02,2,4.5,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.150837525,9,0.339384432,0.289105257,2,0
3,Arkansas,5,1999,2763,2651860,2,1999/03,3,4.5,17,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.075418763,9,0.339384432,0.289105257,3,0
4,Arkansas,5,1999,2349,2651860,10,1999/04,4,4.4,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.377093813,6,0.226256288,0.28282036,4,0
5,Arkansas,5,1999,2325,2651860,10,1999/05,5,4.4,24,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.377093813,7,0.263965669,0.314244844,5,0
6,Arkansas,5,1999,2075,2651860,9,1999/06,6,4.3,17,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.339384432,2,0.075418763,0.345669329,6,0
7,Arkansas,5,1999,2177,2651860,10,1999/07,7,4.2,14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.377093813,7,0.263965669,0.36452402,7,0
8,Arkansas,5,1999,2111,2651860,9,1999/08,8,4.2,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.339384432,6,0.226256288,0.333099535,8,0
9,Arkansas,5,1999,2053,2651860,7,1999/09,9,4.1,25,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.263965669,3,0.113128144,0.395948504,9,0
10,Arkansas,5,1999,2295,2651860,13,1999/10,10,4.1,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.490221957,4,0.150837525,0.420379154,10,0
11,Arkansas,5,1999,2161,2651860,5,1999/11,11,4.1,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.188546907,7,0.263965669,0.407454892,11,0
12,Arkansas,5,1999,2633,2651860,19,1999/12,12,4.1,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,0.716478245,5,0.188546907,0.444505974,12,0
13,Arkansas,5,2000,2969,2673400,14,2000/01,1,4.4,16,24,395304,802.1,22803,802.1,458,2.08,0.5131,2117288,3.278,15.7431,18.4,14.29211958,51.4,17900254,2650,1516133,NA,24,0.520416558,0.523677714,10,0.37405551,0.425144899,13,0
14,Arkansas,5,2000,2456,2673400,7,2000/02,2,4.6,19,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.261838857,6,0.224433306,0.481000034,14,0
15,Arkansas,5,2000,2305,2673400,13,2000/03,3,4.5,20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0.486272163,8,0.299244408,0.411461061,15,0
16,Arkansas,5,2000,2187,2673400,10,2000/04,4,4.5,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.37405551,2,0.074811102,0.423929578,16,0
17,Arkansas,5,2000,2169,2673400,14,2000/05,5,4.4,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.523677714,6,0.224433306,0.386524027,17,0
18,Arkansas,5,2000,2136,2673400,8,2000/06,6,4.3,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.299244408,5,0.187027755,0.355352734,18,0
19,Arkansas,5,2000,2278,2673400,16,2000/07,7,4.3,24,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.598488816,9,0.336649959,0.380289768,19,0
20,Arkansas,5,2000,2158,2673400,1,2000/08,8,4.2,19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.037405551,10,0.37405551,0.37405551,20,0
21,Arkansas,5,2000,2113,2673400,8,2000/09,9,4.1,19,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.299244408,5,0.187027755,0.398992544,21,0
22,Arkansas,5,2000,2322,2673400,14,2000/10,10,4,22,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.523677714,3,0.112216653,0.373550454,22,0
23,Arkansas,5,2000,2374,2673400,13,2000/11,11,3.9,22,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.486272163,7,0.261838857,0.423045731,23,0
24,Arkansas,5,2000,2750,2673400,12,2000/12,12,3.9,20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.448866612,3,0.112216653,0.45986205,24,0
