state,year,cigsale,lnincome,beer,age15to24,retprice
Rhode Island,1970,123.9,,,0.1831579,39.3
Tennessee,1970,99.8,,,0.1780438,39.9
Indiana,1970,134.6,,,0.1765159,30.6
Nevada,1970,189.5,,,0.1615542,38.9
Louisiana,1970,115.9,,,0.1851852,34.3
Oklahoma,1970,108.4,,,0.1754592,38.4
New Hampshire,1970,265.7,,,0.1707317,31.4
North Dakota,1970,93.8,,,0.184466,37.3
Arkansas,1970,100.3,,,0.1690068,36.7
Virginia,1970,124.3,,,0.1894216,28.8
Illinois,1970,124.8,,,0.1669667,41.4
South Dakota,1970,92.7,,,0.1786787,38.5
Utah,1970,65.5,,,0.2020774,34.6
Georgia,1970,109.9,,,0.1874455,34.3
Mississippi,1970,93.4,,,0.1831304,36.2
Colorado,1970,124.8,,,0.1909502,29.4
Minnesota,1970,104.3,,,0.1747241,39.1
California,1970,123,,,0.1781583,38.8
Texas,1970,106.4,,,0.1831414,40.4
Kentucky,1970,155.8,,,0.1813101,28.3
Maine,1970,128.5,,,0.1690141,38
North Carolina,1970,172.4,,,0.1935484,27.3
Montana,1970,111.2,,,0.1757925,34
Vermont,1970,122.6,,,0.1797753,37.7
Iowa,1970,108.5,,,0.1688496,37.7
Connecticut,1970,120,,,0.1629288,42.2
Kansas,1970,114,,,0.1805247,34.2
Delaware,1970,155,,,0.1733577,39
Wisconsin,1970,106.4,,,0.174287,38.5
Idaho,1970,102.4,,,0.1781206,33.8
New Mexico,1970,90,,,0.1848574,39.7
West Virginia,1970,114.5,,,0.1725917,33.7
Pennsylvania,1970,107.3,,,0.163376,38.4
South Carolina,1970,103.6,,,0.2003088,32.5
Ohio,1970,121.6,,,0.1732195,36.6
Nebraska,1970,108.1,,,0.1737374,33.9
Missouri,1970,121.3,,,0.167593,36
Alabama,1970,89.8,,,0.1788618,39.6
Wyoming,1970,132.2,,,0.1746988,34.1
Illinois,1971,125.6,,,0.1689976,41.4
New Hampshire,1971,278,,,0.1723339,34.1
South Dakota,1971,96.7,,,0.1804924,38.5
Kentucky,1971,163.5,,,0.1822996,30.1
Wyoming,1971,131.7,,,0.1772289,34.4
Montana,1971,115.6,,,0.1771459,34.7
Mississippi,1971,105.4,,,0.1843731,37.5
Kansas,1971,102.8,,,0.18155,38.9
Delaware,1971,161.1,,,0.1758872,41.3
Utah,1971,67.7,,,0.2020613,36.6
Oklahoma,1971,115.4,,,0.1765248,39.8
Maine,1971,133.2,,,0.1703349,38.8
Georgia,1971,115.7,,,0.1878663,35.8
Virginia,1971,128.4,,,0.1898735,30.2
Missouri,1971,127.6,,,0.1692596,36.8
Alabama,1971,95.4,,,0.1799278,42.7
North Dakota,1971,98.5,,,0.186387,38.9
North Carolina,1971,187.6,,,0.1936767,29.4
Idaho,1971,108.5,,,0.1760924,33.6
New Mexico,1971,92.6,,,0.1860954,41.7
Pennsylvania,1971,106.3,,,0.1650846,44.7
Arkansas,1971,104.1,,,0.1699539,38.8
Tennessee,1971,106.3,,,0.1788193,41.6
Nebraska,1971,108.6,,,0.1752171,34.7
Texas,1971,108.9,,,0.1843086,42
Ohio,1971,124.6,,,0.1745399,38.1
Wisconsin,1971,105.4,,,0.1763441,40.2
Iowa,1971,108.4,,,0.170839,38.5
West Virginia,1971,111.5,,,0.1731274,41.6
California,1971,121,,,0.1792964,39.7
Colorado,1971,125.5,,,0.1916476,31.1
South Carolina,1971,115,,,0.2004893,34.3
Nevada,1971,190.5,,,0.1637738,44
Indiana,1971,139.3,,,0.1779718,32.2
Minnesota,1971,116.4,,,0.1767316,40.1
Louisiana,1971,119.8,,,0.1867808,39.3
Rhode Island,1971,123.2,,,0.1838495,40.2
Vermont,1971,124.4,,,0.1813672,39.5
Connecticut,1971,117.6,,,0.1646539,45.5
Georgia,1972,117,9.63889,,0.188287,40.9
Utah,1972,71.3,9.601122,,0.2020452,37.2
Kentucky,1972,179.4,9.547482,,0.183289,30.6
South Dakota,1972,103,9.630849,,0.1823062,39.1
Maine,1972,136.5,9.59714,,0.1716557,41.5
Ohio,1972,124.4,9.779579,,0.1758603,38.4
Tennessee,1972,111.5,9.569716,,0.1795947,41.6
Nebraska,1972,104.9,9.746475,,0.1766969,41.1
Rhode Island,1972,134.4,9.770211,,0.1845411,41.6
Texas,1972,108.6,9.675209,,0.1854758,46.9
New Hampshire,1972,296.2,9.736376,,0.1739361,36.1
Oklahoma,1972,121.7,9.625027,,0.1775905,39.8
Pennsylvania,1972,109,9.784274,,0.1667932,44.7
Idaho,1972,126.1,9.651839,,0.1740643,33.7
Iowa,1972,109.4,9.730265,,0.1728285,41.9
Montana,1972,122.2,9.694641,,0.1784993,40.1
Colorado,1972,134.3,9.805548,,0.192345,31.2
Vermont,1972,138,9.673069,,0.1829592,40
California,1972,123.5,9.930814,,0.1804344,39.9
South Carolina,1972,118.7,9.509309,,0.2006698,34.1
Nevada,1972,198.6,9.944233,,0.1659933,40.6
Kansas,1972,111,9.768118,,0.1825754,38.8
Arkansas,1972,103.9,9.464514,,0.170901,44.1
North Carolina,1972,214.1,9.590858,,0.193805,28.7
Louisiana,1972,125.3,9.517365,,0.1883764,40
Virginia,1972,137,9.736405,,0.1903254,29.9
West Virginia,1972,117.5,9.542988,,0.1736631,41.3
Minnesota,1972,96.8,9.765188,,0.1787391,45.2
Mississippi,1972,112.1,9.397449,,0.1856157,37.4
Missouri,1972,130,9.733354,,0.1709261,37.7
Wyoming,1972,140,9.76671,,0.179759,34.4
North Dakota,1972,103.8,9.697235,,0.1883079,38.9
Connecticut,1972,110.8,9.981137,,0.166379,51.3
Indiana,1972,149.2,9.731873,,0.1794276,32.5
Delaware,1972,156.3,9.90993,,0.1784168,44.7
Illinois,1972,126.6,9.908161,,0.1710285,41.9
Alabama,1972,101.1,9.498476,,0.1809939,42.3
New Mexico,1972,99.3,9.55779,,0.1873334,41.1
Wisconsin,1972,108.8,9.749259,,0.1784011,40.3
Montana,1973,119.9,9.775743,,0.1798527,40.9
Louisiana,1973,126.7,9.564111,,0.189972,39.9
Kansas,1973,115.2,9.838229,,0.1836008,39.3
Virginia,1973,143.1,9.781525,,0.1907773,30.1
Connecticut,1973,109.3,10.01299,,0.1681042,50.6
North Dakota,1973,108.7,9.984169,,0.1902288,39.4
Mississippi,1973,115,9.457063,,0.1868584,37.3
Wisconsin,1973,109.5,9.797751,,0.1804582,42.6
Missouri,1973,132.1,9.780752,,0.1725927,37.7
Tennessee,1973,109.7,9.630975,,0.1803702,40.8
New Mexico,1973,98.9,9.592716,,0.1885713,41.8
North Carolina,1973,226.5,9.644995,,0.1939334,28.9
Wyoming,1973,141.2,9.843485,,0.1822892,34.4
Georgia,1973,119.8,9.684865,,0.1887077,42.4
Idaho,1973,121.8,9.721051,,0.1720361,36.3
West Virginia,1973,116.6,9.569655,,0.1741988,39.9
Nebraska,1973,106.6,9.835299,,0.1781767,41.2
Texas,1973,110.4,9.725444,,0.186643,46.4
Pennsylvania,1973,110.7,9.821088,,0.1685018,44.9
Vermont,1973,146.8,9.699159,,0.1845511,39.8
New Hampshire,1973,279,9.774945,,0.1755383,36.9
Illinois,1973,124.4,9.961596,,0.1730594,41
South Dakota,1973,103.5,9.808781,,0.1841199,39.6
Iowa,1973,110.6,9.858372,,0.1748179,41.9
Ohio,1973,120.5,9.826632,,0.1771807,42
Indiana,1973,156,9.806883,,0.1808835,32.9
Minnesota,1973,106.8,9.862045,,0.1807465,45.6
Utah,1973,72.7,9.626667,,0.2020292,36.5
Oklahoma,1973,124.1,9.682419,,0.1786561,40.4
Rhode Island,1973,142,9.785204,,0.1852327,40.6
Maine,1973,138,9.647285,,0.1729765,41
South Carolina,1973,125.5,9.563993,,0.2008503,33.5
Delaware,1973,154.7,9.948177,,0.1809463,44
California,1973,124.4,9.955092,,0.1815724,39.9
Colorado,1973,137.9,9.848413,,0.1930423,32.7
Arkansas,1973,108,9.55683,,0.171848,45.1
Nevada,1973,201.5,9.980632,,0.1682129,40.3
Alabama,1973,102.9,9.550107,,0.1820599,42.1
Kentucky,1973,201.9,9.598115,,0.1842785,30.6
Rhode Island,1974,146.1,9.765945,,0.1859243,41.3
Idaho,1974,125.6,9.746263,,0.170008,38
Minnesota,1974,110.6,9.828342,,0.182754,47
Kansas,1974,118.6,9.810897,,0.1846261,40.2
Nevada,1974,204.7,9.928623,,0.1704325,41.9
South Dakota,1974,108.4,9.697824,,0.1859337,40.4
Oklahoma,1974,130.5,9.675103,,0.1797218,41
Pennsylvania,1974,114.2,9.814226,,0.1702103,46.6
California,1974,126.7,9.947999,,0.1827104,41.9
Tennessee,1974,114.8,9.609496,,0.1811456,42.5
Maine,1974,142.1,9.636234,,0.1742973,41.8
Illinois,1974,131.9,9.946315,,0.1750903,41.9
West Virginia,1974,119.9,9.565596,,0.1747345,42
Delaware,1974,151.3,9.918258,,0.1834759,44.2
Kentucky,1974,212.4,9.600525,,0.1852679,31.5
Indiana,1974,159.6,9.763185,,0.1823394,34.5
Texas,1974,114.7,9.722986,,0.1878102,47.5
Arkansas,1974,109.7,9.542286,,0.1727951,45.5
New Hampshire,1974,269.8,9.747308,,0.1771404,37.9
New Mexico,1974,100.3,9.584766,,0.1898093,43.7
Wyoming,1974,145.8,9.85929,,0.1848193,35.8
