yearq,effect,lower,upper
1961,0.16096138805340754,NA,NA
1962,-0.20537810416327495,NA,NA
1963,-0.7792312154344163,NA,NA
1964,-0.22584026910339094,NA,NA
1965,0.5767464244088982,NA,NA
1966,-1.6616124012544846,NA,NA
1967,-3.3506432811999627,NA,NA
1968,1.0905353529221227,NA,NA
1969,0.48619287558399726,NA,NA
1970,0.13571511647236711,NA,NA
1971,-1.0414967809455211,NA,NA
1972,-0.527991161721765,NA,NA
1973,-0.27280852006460243,NA,NA
1974,-0.7602818138836493,NA,NA
1975,0.29981936902480477,NA,NA
1976,1.1085804299067519,NA,NA
1977,0.4670811687473879,NA,NA
1978,0.9616939910930622,NA,NA
1979,1.4512994801663908,NA,NA
1980,0.5018942877171177,NA,NA
1981,0.24222613544039717,NA,NA
1982,-0.22553911129219273,NA,NA
1983,-0.4361343192918383,NA,NA
1984,0.10394826316398209,NA,NA
1985,-0.26508514920962245,NA,NA
1986,-0.12828321090839534,NA,NA
1987,0.11657836866769067,NA,NA
1988,0.373532355497729,NA,NA
1989,0.08428016600510446,NA,NA
1990,1.7192401794632275,NA,NA
1991,1.4019136165836779,-2.11589796948477,4.390635492405422
1992,-1.075361665844909,-4.703214068067254,0.9323532047168661
1993,-3.4474289503979745,-6.163688072163655,-0.2773956408912115
1994,-2.6415198003061606,-7.715496379199957,1.3786563744049807
1995,-0.9678618209602492,-3.887389170898177,1.9167725746213553
1996,-1.1016819088382226,-5.642349586601709,2.936951320280552
1997,-2.423301530403192,-5.502478419995027,0.3299768764530011
1998,-0.6534688206134733,-8.200562850013366,2.0415271238205426
1999,-0.9762595511060059,-6.686590727571015,3.5743811618913433
2000,-1.509465732778179,-5.686988840831877,7.561195799171145
2001,-1.7106267637566113,-3.77321888458391,1.1066323770450395
2002,0.08318927380340568,-6.240625266777842,5.005852215060104
2003,-0.9398727031042231,-7.039938341579821,2.1377280854647505
